,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,time_next,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,knee_angle_r_next,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,ankle_angle_r_next,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,knee_angle_l_next,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,ankle_angle_l_next
68,3.57,-34.47867794,-130.4510172,-19.80244684,0.26209081,3.56,3.565,3.575,-5.24723281,-5.42750911,-5.60968033,-5.8053474,5.07882501,5.22926197,5.37377617,5.49288257,-12.22961402,-10.96261883,-9.72405643,-8.5394211,-14.38622257,-14.53508389,-14.66192608,-14.80914156
69,3.575,-34.29786217,-132.33826141,-20.97090306,0.07671219,3.565,3.57,3.58,-5.42750911,-5.60968033,-5.8053474,-6.01297552,5.22926197,5.37377617,5.49288257,5.60281255,-10.96261883,-9.72405643,-8.5394211,-7.42510804,-14.53508389,-14.66192608,-14.80914156,-14.99454809
70,3.58,-34.05195811,-134.21972921,-22.09831198,-0.11242181,3.57,3.575,3.585,-5.60968033,-5.8053474,-6.01297552,-6.22109334,5.37377617,5.49288257,5.60281255,5.69705505,-9.72405643,-8.5394211,-7.42510804,-6.36893927,-14.66192608,-14.80914156,-14.99454809,-15.1479697
71,3.585,-33.74730273,-136.07464163,-23.15721272,-0.30168073,3.575,3.58,3.59,-5.8053474,-6.01297552,-6.22109334,-6.43788054,5.49288257,5.60281255,5.69705505,5.780556,-8.5394211,-7.42510804,-6.36893927,-5.41128202,-14.80914156,-14.99454809,-15.1479697,-15.31728305
72,3.59,-33.39181298,-137.88344271,-24.11882507,-0.48716985,3.58,3.585,3.595,-6.01297552,-6.22109334,-6.43788054,-6.64953938,5.60281255,5.69705505,5.780556,5.8364692,-7.42510804,-6.36893927,-5.41128202,-4.55739686,-14.99454809,-15.1479697,-15.31728305,-15.36471921
73,3.595,-32.99198587,-139.62447674,-24.95406564,-0.66483753,3.585,3.59,3.6,-6.22109334,-6.43788054,-6.64953938,-6.88684383,5.69705505,5.780556,5.8364692,5.86955709,-6.36893927,-5.41128202,-4.55739686,-3.83032952,-15.1479697,-15.31728305,-15.36471921,-15.45566076
74,3.6,-32.55122533,-141.27503959,-25.63466874,-0.83060508,3.59,3.595,3.605,-6.43788054,-6.64953938,-6.88684383,-7.13320339,5.780556,5.8364692,5.86955709,5.89316023,-5.41128202,-4.55739686,-3.83032952,-3.22501085,-15.31728305,-15.36471921,-15.45566076,-15.4744919
75,3.605,-32.07232385,-142.81473879,-26.13440439,-0.98051371,3.595,3.6,3.61,-6.64953938,-6.88684383,-7.13320339,-7.37005239,5.8364692,5.86955709,5.89316023,5.89348824,-4.55739686,-3.83032952,-3.22501085,-2.76270262,-15.36471921,-15.45566076,-15.4744919,-15.39821707
76,3.61,-31.55705616,-144.22618357,-26.43040543,-1.11087911,3.6,3.605,3.615,-6.88684383,-7.13320339,-7.37005239,-7.63207828,5.86955709,5.89316023,5.89348824,5.88133481,-3.83032952,-3.22501085,-2.76270262,-2.47320069,-15.45566076,-15.4744919,-15.39821707,-15.27019842
77,3.615,-31.00592235,-145.49606589,-26.50451394,-1.21844129,3.605,3.61,3.62,-7.13320339,-7.37005239,-7.63207828,-7.8969632,5.89316023,5.89348824,5.88133481,5.83492252,-3.22501085,-2.76270262,-2.47320069,-2.33249808,-15.4744919,-15.39821707,-15.27019842,-15.0833082
78,3.62,-30.41842632,-146.6142431,-26.34449823,-1.3004949,3.61,3.615,3.625,-7.37005239,-7.63207828,-7.8969632,-8.15194458,5.89348824,5.88133481,5.83492252,5.76822451,-2.76270262,-2.47320069,-2.33249808,-2.33321405,-15.39821707,-15.27019842,-15.0833082,-14.85536761
79,3.625,-29.79086007,-147.56881048,-25.94503287,-1.35498748,3.615,3.62,3.63,-7.63207828,-7.8969632,-8.15194458,-8.42175872,5.88133481,5.83492252,5.76822451,5.65850146,-2.47320069,-2.33249808,-2.33321405,-2.48272083,-15.27019842,-15.0833082,-14.85536761,-14.62588374
