time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev,ankle_angle_l,delta_t,knee_angular_vel_r,ankle_angular_vel_r,knee_angular_vel_l,ankle_angular_vel_l
3.54,-33.90476703,-119.9208657,-12.43091474,1.09584576,3.535,-4.59121086,-4.70725724,4.22850919,4.42288282,-19.01943797,-17.61185243,-13.41523246,-13.69030133,0.005,-23.209276,38.874726,281.517108,-55.013774
3.545,-34.20738156,-121.5406712,-13.62079754,0.99614913,3.54,-4.70725724,-4.81029795,4.42288282,4.58091096,-17.61185243,-16.2547321,-13.69030133,-13.89541017,0.005,-20.608142,31.605628,271.424066,-41.021768
3.55,-34.43003914,-123.215733,-14.84462546,0.87944554,3.545,-4.81029795,-4.94589297,4.58091096,4.75526926,-16.2547321,-14.87323309,-13.89541017,-14.09766228,0.005,-27.119004,34.87166,276.299802,-40.450422
3.555,-34.56828067,-124.9506241,-16.08958408,0.74643845,3.55,-4.94589297,-5.09266558,4.75526926,4.92121881,-14.87323309,-13.54851144,-14.09766228,-14.25609215,0.005,-29.354522,33.18991,264.94433,-31.685974
3.56,-34.6202407,-126.7417438,-17.34215188,0.59826996,3.555,-5.09266558,-5.24723281,4.92121881,5.07882501,-13.54851144,-12.22961402,-14.25609215,-14.38622257,0.005,-30.913446,31.52124,263.779484,-26.026084
3.565,-34.58818666,-128.579467,-18.58790582,0.43656404,3.56,-5.24723281,-5.42750911,5.07882501,5.22926197,-12.22961402,-10.96261883,-14.38622257,-14.53508389,0.005,-36.05526,30.087392,253.399038,-29.772264
3.57,-34.47867794,-130.4510172,-19.80244684,0.26209081,3.565,-5.42750911,-5.60968033,5.22926197,5.37377617,-10.96261883,-9.72405643,-14.53508389,-14.66192608,0.005,-36.434244,28.90284,247.71248,-25.368438
3.575,-34.29786217,-132.3382614,-20.97090306,0.07671219,3.57,-5.60968033,-5.8053474,5.37377617,5.49288257,-9.72405643,-8.5394211,-14.66192608,-14.80914156,0.005,-39.133414,23.82128,236.927066,-29.443096
3.58,-34.05195811,-134.2197292,-22.09831198,-0.11242181,3.575,-5.8053474,-6.01297552,5.49288257,5.60281255,-8.5394211,-7.42510804,-14.80914156,-14.99454809,0.005,-41.525624,21.985996,222.862612,-37.081306
3.585,-33.74730273,-136.0746416,-23.15721272,-0.30168073,3.58,-6.01297552,-6.22109334,5.60281255,5.69705505,-7.42510804,-6.36893927,-14.99454809,-15.1479697,0.005,-41.623564,18.8485,211.233754,-30.684322
3.59,-33.39181298,-137.8834427,-24.11882507,-0.48716985,3.585,-6.22109334,-6.43788054,5.69705505,5.780556,-6.36893927,-5.41128202,-15.1479697,-15.31728305,0.005,-43.35744,16.70019,191.53145,-33.86267
3.595,-32.99198587,-139.6244767,-24.95406564,-0.66483753,3.59,-6.43788054,-6.64953938,5.780556,5.8364692,-5.41128202,-4.55739686,-15.31728305,-15.36471921,0.005,-42.331768,11.18264,170.777032,-9.487232
3.6,-32.55122533,-141.2750396,-25.63466874,-0.83060508,3.595,-6.64953938,-6.88684383,5.8364692,5.86955709,-4.55739686,-3.83032952,-15.36471921,-15.45566076,0.005,-47.46089,6.617578,145.413468,-18.18831
3.605,-32.07232385,-142.8147388,-26.13440439,-0.98051371,3.6,-6.88684383,-7.13320339,5.86955709,5.89316023,-3.83032952,-3.22501085,-15.45566076,-15.4744919,0.005,-49.271912,4.720628,121.063734,-3.766228
3.61,-31.55705616,-144.2261836,-26.43040543,-1.11087911,3.605,-7.13320339,-7.37005239,5.89316023,5.89348824,-3.22501085,-2.76270262,-15.4744919,-15.39821707,0.005,-47.3698,0.065602,92.461646,15.254966
