,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
48,3.815,-1.73531521,0.62019289,10.19288833,-12.66141508,3.805,3.81,-69.2874559,-68.49086113,-67.6255103,-11.04191955,-10.5789616,-10.13329578,-14.05966718,-13.63074433,-13.21083007,5.08378108,5.33514798,5.61636883
49,3.82,-2.01895051,0.64191944,9.14461729,-13.76532748,3.81,3.815,-68.49086113,-67.6255103,-66.67125891,-10.5789616,-10.13329578,-9.67812427,-13.63074433,-13.21083007,-12.80368796,5.33514798,5.61636883,5.85863084
50,3.825,-2.30397989,0.66491138,8.14080506,-14.84840665,3.815,3.82,-67.6255103,-66.67125891,-65.65142695,-10.13329578,-9.67812427,-9.22793034,-13.21083007,-12.80368796,-12.40341939,5.61636883,5.85863084,6.13003346
51,3.83,-2.59281506,0.68872035,7.18797573,-15.90927608,3.82,3.825,-66.67125891,-65.65142695,-64.56949371,-9.67812427,-9.22793034,-8.76658965,-12.80368796,-12.40341939,-12.0176873,5.85863084,6.13003346,6.40426135
52,3.835,-2.88840836,0.71294021,6.28994564,-16.94752995,3.825,3.83,-65.65142695,-64.56949371,-63.4318394,-9.22793034,-8.76658965,-8.28069823,-12.40341939,-12.0176873,-11.64037119,6.13003346,6.40426135,6.68647795
53,3.84,-3.19417483,0.7371946,5.44960524,-17.96275875,3.83,3.835,-64.56949371,-63.4318394,-62.21611931,-8.76658965,-8.28069823,-7.83178667,-12.0176873,-11.64037119,-11.27665568,6.40426135,6.68647795,6.92632596
54,3.845,-3.51388648,0.76112399,4.66730148,-18.95571093,3.835,3.84,-63.4318394,-62.21611931,-60.95383133,-8.28069823,-7.83178667,-7.37931686,-11.64037119,-11.27665568,-10.91585604,6.68647795,6.92632596,7.18607661
55,3.85,-3.83694979,0.78621877,3.9414647,-19.92845862,3.84,3.845,-62.21611931,-60.95383133,-59.63058969,-7.83178667,-7.37931686,-6.88320985,-11.27665568,-10.91585604,-10.58035808,6.92632596,7.18607661,7.43474834
56,3.855,-4.11149053,0.81866594,3.27026142,-20.88375842,3.845,3.85,-60.95383133,-59.63058969,-58.25589894,-7.37931686,-6.88320985,-6.41398926,-10.91585604,-10.58035808,-10.25894127,7.18607661,7.43474834,7.65760902
57,3.86,-4.38639676,0.85177801,2.65217807,-21.82521426,3.85,3.855,-59.63058969,-58.25589894,-56.83213489,-6.88320985,-6.41398926,-5.94772438,-10.58035808,-10.25894127,-9.95132184,7.43474834,7.65760902,7.87472806
58,3.865,-4.66316594,0.88501662,2.08533003,-22.7576854,3.855,3.86,-58.25589894,-56.83213489,-55.36254283,-6.41398926,-5.94772438,-5.49244533,-10.25894127,-9.95132184,-9.65844655,7.65760902,7.87472806,8.08447098
59,3.87,-4.94350764,0.91771067,1.56758074,-23.68701946,3.86,3.865,-56.83213489,-55.36254283,-53.84892922,-5.94772438,-5.49244533,-5.05621636,-9.95132184,-9.65844655,-9.38399957,7.87472806,8.08447098,8.2894653
60,3.875,-5.22947815,0.9490409,1.09862202,-24.61911808,3.865,3.87,-55.36254283,-53.84892922,-52.29457669,-5.49244533,-5.05621636,-4.63711146,-9.65844655,-9.38399957,-9.12703512,8.08447098,8.2894653,8.49566656
61,3.88,-5.5236542,0.97803224,0.67816902,-25.55990672,3.87,3.875,-53.84892922,-52.29457669,-50.70113836,-5.05621636,-4.63711146,-4.23680094,-9.38399957,-9.12703512,-8.89046839,8.2894653,8.49566656,8.70326898
